,Filename,FloorName,pos_x,pos_y,pos_z,ang_x,ang_y,ang_z,free_perc,occ_perc
0,FP201_0,FloorPlan201,-4.0,0.9026570916175842,1.5,0,0,0,71.54388427734375,15.18402099609375
1,FP201_1,FloorPlan201,-4.0,0.9026570916175842,1.5,0,45,0,72.04132080078125,14.50042724609375
2,FP201_2,FloorPlan201,-4.0,0.9026570916175842,1.5,0,90,0,68.25103759765625,15.887451171875
3,FP201_3,FloorPlan201,-4.0,0.9026570916175842,1.5,0,135,0,76.739501953125,13.3209228515625
4,FP201_4,FloorPlan201,-4.0,0.9026570916175842,1.5,0,180,0,84.31243896484375,9.613037109375
5,FP201_5,FloorPlan201,-4.0,0.9026570916175842,1.5,0,225,0,90.0482177734375,5.74493408203125
6,FP201_6,FloorPlan201,-4.0,0.9026570916175842,1.5,0,270,0,89.691162109375,3.21044921875
7,FP201_7,FloorPlan201,-4.0,0.9026570916175842,1.5,0,315,0,82.73773193359375,10.90240478515625
8,FP201_8,FloorPlan201,-4.0,0.9026570916175842,2.0,0,0,0,75.69580078125,13.507080078125
9,FP201_9,FloorPlan201,-4.0,0.9026570916175842,2.0,0,45,0,70.93658447265625,14.019775390625
10,FP201_10,FloorPlan201,-4.0,0.9026570916175842,2.0,0,90,0,70.1446533203125,16.6717529296875
11,FP201_11,FloorPlan201,-4.0,0.9026570916175842,2.0,0,135,0,66.65496826171875,16.064453125
12,FP201_12,FloorPlan201,-4.0,0.9026570916175842,2.0,0,180,0,79.1229248046875,13.5284423828125
13,FP201_13,FloorPlan201,-4.0,0.9026570916175842,2.0,0,225,0,85.71319580078125,7.5286865234375
14,FP201_14,FloorPlan201,-4.0,0.9026570916175842,2.0,0,270,0,88.60321044921875,3.21044921875
15,FP201_15,FloorPlan201,-4.0,0.9026570916175842,2.0,0,315,0,83.624267578125,11.05499267578125
16,FP201_16,FloorPlan201,-4.5,0.9026570916175842,1.5,0,0,0,72.51129150390625,14.447021484375
17,FP201_17,FloorPlan201,-4.5,0.9026570916175842,1.5,0,45,0,63.8397216796875,20.06988525390625
